name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006
51 Eridani b,96,2 Jupiters,5.23,2015
51 Pegasi b,50,0.46 Jupiters,5.5,1995
55 Cancri b,41,0.8306 Jupiters,5.96,1996
55 Cancri c,41,0.1714 Jupiters,5.96,2004
55 Cancri d,41,3.878 Jupiters,5.96,2002
55 Cancri e,41,8.08 Earths,5.96,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006
51 Eridani b,96,2 Jupiters,5.23,2015
51 Pegasi b,50,0.46 Jupiters,5.5,1995
55 Cancri b,41,0.8306 Jupiters,5.96,1996
55 Cancri c,41,0.1714 Jupiters,5.96,2004
55 Cancri d,41,3.878 Jupiters,5.96,2002
55 Cancri e,41,8.08 Earths,5.96,2004
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
CHXR 73 b,623,12.569 Jupiters,17.293,2006
CI Tauri b,515,11.6 Jupiters,12.939,2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
CHXR 73 b,623,12.569 Jupiters,17.293,2006
CI Tauri b,515,11.6 Jupiters,12.939,2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
CHXR 73 b,623,12.569 Jupiters,17.293,2006
CI Tauri b,515,11.6 Jupiters,12.939,2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
